# Emoji Keywords — emoji<TAB>kw1 kw2 kw3 ...
#
# Per-emoji search synonyms attached as invisible rofi metadata, alongside
# the cluster aliases in emoji-aliases.txt. Matched by the rofi filter,
# never displayed in the picker rows.
#
# Format
#   <emoji><TAB>keyword<SPACE>keyword<SPACE>...
#
# Notes
#   - Comments start with #. Blank lines ignored.
#   - The same emoji may be repeated; the handler merges all occurrences.
#   - Read by ~/.config/sway/scripts/emoji-modi-handler on every picker launch.
#
# The first 545 entries below were generated from
# /usr/share/oh-my-zsh/plugins/emoji/gemoji_db.json (CLDR aliases + tags,
# deduped against the description and stopwords). Manual additions to
# extend coverage and refine search are appended below the auto block.

# === Auto (gemoji-derived) ===
0️⃣	zero
🧑‍🧑‍🧒‍🧒	familia adultos hijos hermanos cuatro
🧑‍🧒	familia monoparental hijo tutor crianza
🧑‍🧒‍🧒	familia monoparental hijos hermanos crianza
👣	huellas pisadas pasos descalzo rastro
🫆	huella dactilar biometría biometria identidad forense
🐵	mono chango changuito travieso simio
🐒	chango mono cola trepar selva
🦍	gorila primate fuerte king-kong simio
🦧	simio primate borneo pelirrojo mono
🐶	perro perrito cachorro mascota lomito
🐕	perro canino mascota lomito ladrar
🦮	perro lazarillo ciego arnés arnes asistencia
🐕‍🦺	perro chaleco apoyo terapia discapacidad
🐩	caniche perro french esponjado pompón pompon
🐺	lobo manada aullido salvaje luna
🦊	zorro astuto listo naranja cola
🦝	mapache antifaz basura trash-panda nocturno
🐱	gato gatito michi minino miau
🐈	gato felino michi mascota maullar
🐈‍⬛	gato negro michi mala-suerte brujería brujeria
🦁	león leon felino rugido safari leo
🐯	tigre felino rayas rugido bengala
🐅	tigre felino rayas salvaje depredador
🐆	leopardo felino manchas pantera depredador
🐴	caballo yegua potro relincho jinete
🫎	alce astas cornamenta bosque canadá canada
🫏	burro asno mula terco rebuzno
🐎	caballo galope jinete equino hípica hipica
🦄	unicornio fantasía fantasia arcoíris arcoiris caballo startup
🦓	cebra rayas stripes sabana africa
🦌	venado ciervo reno bambi navidad
🦬	bisonte búfalo bufalo buffalo pradera manada
🐮	vaca res leche granja mu
🐂	buey toro arado yunta fuerza
🐃	búfalo bufalo carabao cuernos bovino
🐄	vaca res ganado lechera milk
🐷	cerdo puerco marrano cochino rosa
🐖	cerdo puerco marrano swine granja
🐗	jabalí jabali colmillo caza bosque pumbaa
🐽	nariz hocico cerdo trompa
🐏	carnero borrego aries cuernos lana
🐑	oveja borrega lana rebaño rebano wool
🐐	cabra chivo chiva barba trepar
🐪	camello joroba caravana sahara arena
🐫	camello bactriano jorobas caravana desierto
🦙	alpaca andes perú peru lana escupe
🦒	jirafa cuello alto sabana manchas
🐘	elefante trompa colmillos safari dumbo
🦣	mamut prehistórico prehistorico extinto colmillos hielo
🦏	rinoceronte rhino cuerno safari sabana
🦛	hipopótamo hipopotamo hippo río rio africa
🐭	ratón raton ratoncito queso mickey roedor
🐁	ratón raton roedor ratoncito plaga
🐀	rata roedor alcantarilla plaga soplón soplon
🐹	roedor mascota rueda jaula cachetes
🐰	conejo conejito orejas pascua zanahoria
🐇	conejo liebre orejas saltar hare
🐿️	ardilla bellota chip-dale alvin roedor
🦫	castor presa dique roedor dam
🦔	erizo púas puas espinas sonic
🦇	murciélago murcielago vampiro batman noche alas
🐻	oso osito peluche miel bosque
🐻‍❄️	oso hielo nieve frío frio polo
🐨	eucalipto árbol arbol dormilón dormilon australiano
🐼	bambú bambu china oso blanco-negro ojeras
🦥	perezoso lento flojo árbol arbol slow
🦦	nutria río rio nadar acuático acuatico juguetón jugueton
🦨	zorrillo mofeta apestoso peste stink
🦘	canguro australia salto marsupial bolsa
🦡	tejón tejon madriguera honey-badger cavar
🐾	huellas patas mascota rastro perro
🦃	pavo guajolote cena plumas
🐔	gallina pollo huevo granja cacarear
🐓	gallo kikiriki amanecer cresta granja
🐣	pollito polluelo cascarón cascaron nacer pío pio
🐤	pollito pío pio amarillo piolín piolin ave
🐥	pollito pío pio amarillo bebé bebe plumón plumon
🐦	pájaro pajaro ave twitter trino pico
🐧	pingüino pinguino linux tux hielo polo
🕊️	paloma paz blanca libertad espíritu-santo espiritu-santo
🦅	águila aguila méxico mexico escudo rapaz garras
🦆	pato cuac patito nadar plumas
🦢	cisne lago cuello elegante ballet
🦉	búho buho lechuza tecolote sabiduría sabiduria ojos
🦤	extinto ave pájaro pajaro mauricio extinct
🪶	pluma plumaje ligero ave quill
🦩	flamenco rosa pink zancudo laguna
🦚	pavo-real plumas abanico presumido colores
🦜	loro cotorra guacamaya pirata tropical
🪽	ala vuelo pluma ángel angel feather flight
🐦‍⬛	cuervo pájaro pajaro mirlo negro blackbird
🪿	ganso oca honk granja ave
🐦‍🔥	fénix fenix renacer cenizas resurgir ashes immortal
🐸	rana sapo croar anfibio croak
🐊	cocodrilo caimán caiman lagarto pantano swamp
🐢	tortuga caparazón caparazon tortoise lento reptil
🦎	lagartija lagarto iguana escamas
🐍	víbora vibora culebra serpiente cobra veneno python
🐲	cabeza bestia leyenda monstruo kaiju myth
🐉	serpiente bestia leyenda fantasía fantasia wyvern medieval
🦕	dinosaurio dino brontosaurio jurásico jurasico prehistoric
🦖	dinosaurio dinosaur tiranosaurio jurásico jurasico carnívoro carnivoro dino
🐳	ballena chorro cetáceo cetaceo océano oceano blue
🐋	ballena cetáceo cetaceo océano oceano mar giant
🐬	delfín delfin mar acuario saltar porpoise
🫍	ballena-asesina killer-whale cetáceo cetaceo mar shamu
🦭	foca lobo-marino aleta ártico artico sea-lion
🐟	pez pescado pescar pecera seafood
🐠	pez pecera arrecife buceo nemo snorkel
🐡	pez-globo fugu espinas inflado veneno
🦈	tiburón tiburon aleta jaws depredador mordida
🐙	pulpo kraken ventosa tentáculo tentaculo mariscos
🐚	concha caracola conch arena seashell
🪸	arrecife reef buceo mar océano oceano
🪼	medusa aguamala tentáculos tentaculos picadura sting mar
🦀	cangrejo jaiba pinzas mariscos playa claws
🦞	langosta mariscos pinzas crustáceo crustaceo seafood claws
🦐	camarón camaron gamba langostino mariscos cóctel coctel crustacean
🦑	calamar tinta mariscos kraken cephalopod
🦪	ostión ostion ostra perla mariscos concha pearl
🐌	caracol baba lento escargot concha
🦋	mariposa monarca metamorfosis alas primavera
🐛	oruga gusano error insecto debug larva
🐜	hormiga hormiguero insecto plaga picnic
🐝	abeja miel panal polen picadura buzz
🪲	escarabajo insecto bicho insect antenas
🐞	catarina mariquita ladybug suerte puntos rojo
🦗	grillo chapulín chapulin saltamontes insecto chirp
🪳	cucaracha plaga insecto asco roach pest
🕷️	araña arana tarántula tarantula patas miedo aracnofobia
🕸️	telaraña telarana araña arana trampa pegajoso net
🦂	alacrán alacran escorpión escorpion aguijón aguijon desierto zodiaco scorpio
🦟	zancudo piquete dengue picadura insecto bite
🪰	mosca insecto zumbido basura housefly
🪱	gusano lombriz tierra carnada compost
🦠	virus bacteria germen microbio infección infeccion covid
💐	ramo flores regalo boda aniversario
🌸	sakura flor rosa japón japon primavera pétalos petalos
💮	flor blanca sello aprobado bien-hecho stamp
🪷	loto yoga meditación meditacion zen buda nenúfar nenufar
🏵️	escarapela roseta premio condecoración condecoracion adorno badge
🌹	rosa amor romance san-valentín san-valentin espinas
🥀	marchita seca tristeza luto desamor rosa
🌺	jamaica flor playa isla luau
🌻	girasol semillas amarillo verano campo
🌼	margarita flor primavera amarilla campo
🌷	tulipán tulipan holanda primavera jardín jardin amsterdam
🪻	jacinto morado lila primavera purple
🌱	brote retoño retono germinar sprout crecimiento
🪴	maceta jardinería jardineria houseplant planta-de-interior decoración decoracion
🌲	pino conífera conifera bosque árbol arbol forest
🌳	árbol arbol roble frondoso sombra oak park
🌴	palmera cocotero vacaciones caribe resort
🌵	nopal espinas desierto saguaro árido arido
🌾	trigo espiga cosecha grano wheat harvest
🌿	hierba yerba aromática aromatica hoja sprig
☘️	trébol trebol irlanda san-patricio suerte verde
🍀	trébol trebol suerte fortuna amuleto lucky
🍁	hoja otoño otono arce canadiense fall
🍂	hojas otoño otono hojarasca caída caida seca
🍃	hoja viento brisa naturaleza breeze
🪹	nido vacío vacio pájaro pajaro rama bird
🪺	nido huevos pájaro pajaro incubar ave
🍄	hongo seta champiñón champinon mario amanita
🪾	árbol arbol seco ramas invierno bare
🍇	uvas racimo viñedo vinedo vino morado
🍈	melón fruta verano dulce jugoso
🍉	sandía sandia verano rebanada semillas agua-fresca
🍊	mandarina cítrico citrico gajo naranja fruta
🍋	limón limon limonada ácido acido agrio amarillo
🍋‍🟩	limón limon lima michelada ácido acido verde
🍌	plátano platano banano amarillo cáscara cascara potasio
🍍	piña pina piña-colada pina-colada al-pastor ananá anana jugo
🥭	fruta tropical chamoy manila ataulfo
🍎	manzana fruta roja maestro mordida
🍏	manzana verde granny-smith ácida acida ensalada
🍐	pera fruta jugosa madura postre
🍑	durazno melocotón melocoton nalgas trasero booty
🍒	cereza guinda fruta roja postre
🍓	fresa frutilla fruta mermelada roja
🫐	arándanos arandanos moras fruta azul berry
🥝	rebanada tropical vitamina-c nueva-zelanda ácido acido
🍅	jitomate tomate salsa ensalada ketchup
🫒	aceituna oliva aceite mediterráneo mediterraneo martini
🥥	coco tropical agua-de-coco palmera fruta
🥑	aguacate palta hueso cremoso michoacán michoacan
🍆	berenjena verdura morada albur pene
🥔	papa patata puré pure frita tubérculo tuberculo
🥕	zanahoria conejo verdura ensalada betacaroteno
🌽	elote mazorca esquites maíz maiz choclo
🌶️	chile picante jalapeño jalapeno salsa habanero
🫑	pimiento morrón morron verdura verde capsicum
🥒	pepino ensalada encurtido fresco verdura
🥬	lechuga acelga espinaca verdura ensalada
🥦	brócoli brocoli verdura arbolito saludable veggie
🧄	ajo diente-de-ajo vampiro condimento cocina
🧅	cebolla lágrimas lagrimas capas llorar morada
🥜	cacahuate maní mani botana alergia salado
🫘	frijoles frijol legumbre habichuelas olla
🌰	castaña castana navidad asada otoño otono invierno
🫚	jengibre raíz raiz té te especia remedio
🫛	chícharos chicharos guisantes vaina arvejas legumbre
🍄‍🟫	hongo champiñón champinon seta comestible bosque
🫜	nabo tubérculo tuberculo raíz raiz rábano rabano verdura
🍞	pan bolillo rebanada panadería panaderia hogaza
🥐	cuernito medialuna hojaldre desayuno pan
🥖	barra pan panadería panaderia francia corteza
🫓	tortilla pita naan arepa comal
🥨	brezel oktoberfest salado alemán aleman baviera
🥯	rosca pan desayuno queso-crema nueva-york
🥞	hotcakes panqueques desayuno miel maple
🧇	wafle gofre desayuno belga miel
🧀	queso cheddar lácteo lacteo rebanada gouda
🍖	carne hueso costilla asado carnívoro carnivoro
🍗	pollo muslo pata frito rostizado
🥩	bistec filete steak res carne-asada
🥓	tocino tocineta desayuno sartén sarten grasa
🍔	hamburguesa comida-rápida comida-rapida chatarra mcdonalds carne
🍟	papas papitas mcdonalds crujiente ketchup
🍕	pepperoni rebanada pizzería pizzeria masa
🌭	salchicha jocho perro-caliente mostaza dogo
🥪	torta lonche emparedado bocadillo almuerzo
🌮	pastor taquería taqueria antojito birria salsa
🌯	harina chimichanga relleno norteño norteno enrollado
🫔	tamal masa hoja atole navidad mexicano
🥙	shawarma doner árabe arabe griego wrap
🧆	garbanzo croqueta árabe arabe vegetariano frito
🥚	huevo blanquillo gallina crudo proteína proteina
🍳	sartén sarten estrellado huevo-frito cocina chef
🥘	cazuela guiso sartén sarten arroz mariscos
🍲	caldo sopa olla guisado pozole
🫕	queso-fundido derretido suizo chocolate cena
🥣	cereal avena desayuno tazón tazon cuchara
🥗	ensalada lechuga dieta vegano saludable
🍿	palomitas botana cine chisme maíz maiz
🧈	mantequilla margarina barra grasa lácteo lacteo
🧂	sal salero condimento salty sazón sazon
🥫	lata enlatado conserva atún atun despensa
🍱	lonchera tupper arroz japón japon almuerzo
🍘	galleta arroz botana crujiente japonés japones
🍙	nori triángulo triangulo alga anime bola-de-arroz
🍚	arroz blanco tazón tazon guarnición guarnicion chino
🍛	curri arroz picante india especias
🍜	sopa fideos maruchan tazón tazon pho
🍝	espagueti boloñesa bolonesa fideos italiana salsa
🍠	camote batata horneado dulce tubérculo tuberculo
🍢	brocheta pincho caldo japón japon palito
🍣	pescado salmón salmon arroz crudo rollo
🍤	camarón camaron empanizado marisco frito botana
🍥	naruto espiral pescado anime sopa
🥮	mooncake luna chino festival otoño otono
🍡	brocheta bolitas dulce tricolor postre
🥟	gyoza empanada relleno masa chino
🥠	galleta suerte destino mensaje chino
🥡	para-llevar comida-china domicilio delivery pedido
🍦	helado nieve cono barquillo vainilla
🍧	raspado granizado nieve jarabe hielo
🍨	helado nieve postre copa bola
🍩	dona rosquilla glaseado panadería panaderia chispas
🍪	galleta chispas horneada postre merienda
🎂	pastel velas cumpleaños cumpleanos bday felicidades
🍰	rebanada pastel fresa crema postre
🧁	mantecada panqué panque betún betun muffin postre
🥧	pay tarta manzana rebanada postre
🍫	barra tablilla dulce antojo cacao
🍬	dulce caramelo golosina azúcar azucar envuelto
🍭	paleta caramelo espiral dulce colorido
🍮	natilla postre vainilla cremoso dulce
🍯	miel tarro abeja panal endulzante
🍼	biberón biberon mamila bebé bebe lactancia recién-nacido recien-nacido
🥛	leche vaso lácteo lacteo calcio desayuno
☕	taza cafecito humeante cafeína cafeina caliente
🫖	tetera té te infusión infusion kettle porcelana
🍵	matcha taza japonés japones infusión infusion zen
🍶	licor botella japón japon nihonshu bar
🍾	brindis fiesta descorchar espumoso año-nuevo ano-nuevo
🍷	vino copa tinto bodega cata
🍸	martini cóctel coctel bar copa trago
🍹	piña-colada pina-colada playa sombrilla daiquiri verano
🍺	cerveza chela cheve tarro bar
🍻	salud brindis chelas cheers cantina
🥂	brindis copas champán champan celebrar boda
🥃	tequila ron licor vaso bourbon
🫗	servir verter derramar agua spill
🥤	refresco soda popote vaso comida-rápida comida-rapida
🧋	boba tapioca perlas taiwán taiwan popote
🧃	jugo juice popote cartón carton lonchera
🧉	yerba argentina bombilla infusión infusion uruguay
🧊	hielo cubito frío frio congelado cold
🥢	palillos sushi asiático asiatico japonés japones ramen
🍽️	comida cubiertos cena hambre comer
🍴	tenedor cuchillo comer restaurante comida
🥄	cuchara sopa cucharada postre revolver
🔪	cuchillo cocina filo rebanar chef
🫙	frasco tarro vidrio conserva mermelada
🏺	ánfora anfora vasija barro arcilla museo
🌍	mundo planeta tierra globo europa
🌎	mundo globo tierra méxico mexico latinoamérica latinoamerica
🌏	mundo globo tierra oceanía oceania pacífico pacifico
🌐	internet web red idioma www
🗺️	mapa mapamundi viaje ruta explorar
🗾	japón japon nippon mapa asia tokio
🧭	brújula brujula norte orientación orientacion navegación navegacion rumbo
🏔️	montaña montana nevado cumbre everest alpes
⛰️	montaña montana cerro sierra senderismo hiking
🛘	derrumbe deslave alud desastre rocas
🌋	volcán volcan popocatépetl popocatepetl ceniza cráter crater montaña montana
🗻	fujiyama montaña montana volcán volcan nevado japonés japones
🏕️	campamento acampar fogata casa-de-campaña casa-de-campana aire-libre
🏖️	playa sombrilla verano arena costa
🏜️	desierto cactus sequía sequia sahara calor
🏝️	isla palmera paraíso paraiso caribe vacaciones
🏞️	parque paisaje río rio bosque mirador
🏟️	estadio fútbol futbol concierto partido graderías graderias
🏛️	columnas templo capitolio banco antiguo
🏗️	obra grúa grua wip albañil albanil edificio
🧱	ladrillo tabique muro pared construcción construccion
🪨	piedra roca stone boulder pesado
🪵	madera tronco leña lena log carpintería carpinteria
🛖	choza cabaña cabana palapa jacal refugio
🏘️	casas colonia barrio fraccionamiento vecindario
🏚️	casa ruinas embrujada vieja deteriorada
🏠	casa hogar domicilio vivienda inicio
🏡	casa jardín jardin patio hogar césped cesped
🏢	oficina edificio empresa negocio chamba
🏣	correos oficina envío envio paquete nippon
🏤	correos oficina carta paquetería paqueteria envío envio
🏥	doctor salud urgencias ambulancia enfermería enfermeria

# --- Enrichment pass 2026-08-01: chunks 012, 013, 014, 015, 016, 017 ---
🏦	banco sucursal dinero crédito credito savings
🏨	hospedaje habitación habitacion posada resort check-in
🏩	motel pareja corazón corazon rosa cita
🏪	oxxo tienda abarrotes minisuper 24-horas
🏫	escuela colegio primaria clases campus
🏬	almacén almacen compras plaza tienda boutique
🏭	fábrica fabrica maquiladora chimenea producción produccion humo
🏯	castillo japón japon samurái samurai osaka fortaleza
🏰	castillo fortaleza princesa disney medieval
💒	boda novios casarse chapel matrimonio
🗼	torre antena mirador roja paris
🗽	libertad estatua nueva-york antorcha usa
⛪	iglesia capilla misa catedral parroquia
🕌	mezquita minarete rezo cúpula cupula ramadan
🛕	templo india mandir hinduismo religión religion
🕍	sinagoga judío judio torá tora israel rabino
⛩️	santuario puerta kioto gate naranja
🕋	meca hajj cubo arabia peregrinación peregrinacion
⛲	fuente chorro agua monedas jardín jardin
⛺	carpa campamento acampar scout outdoors
🌁	niebla neblina bruma san-francisco golden-gate
🌃	noche estrellas ciudad nocturno rascacielos
🏙️	ciudad edificios rascacielos metrópoli metropoli buildings
🌄	amanecer montaña montana sol madrugada paisaje
🌅	amanecer alba sol mar playa
🌆	atardecer anochecer crepúsculo crepusculo edificios tarde
🌇	ocaso puesta-de-sol naranja dusk anochecer
🌉	puente noche luces golden-gate río rio
♨️	aguas-termales onsen vapor spa baño bano
🎠	carrusel caballito feria tiovivo niños ninos
🛝	resbaladilla tobogán tobogan parque niños ninos juegos
🎡	rueda-de-la-fortuna feria carnaval parque vuelta
🎢	montaña-rusa montana-rusa feria adrenalina parque loop
💈	barbería barberia peluquería peluqueria corte navaja rayas
🎪	circo carpa payaso feria acróbata acrobata
🚂	locomotora ferrocarril vía via choo-choo railway
🚃	vagón vagon ferrocarril pasajeros riel transporte
🚄	tren-bala shinkansen velocidad ferrocarril rápido rapido
🚅	shinkansen tren-bala japón japon alta-velocidad nariz
🚆	tren ferrocarril riel vagones transporte
🚇	subterráneo subterraneo cdmx andén anden vagón vagon transporte
🚈	tren-ligero riel suburbano ferrocarril commuter
🚉	estación estacion andén anden tren parada ferrocarril
🚊	tranvía tranvia riel ciudad público publico transporte
🚝	monorriel riel transporte aeropuerto disney
🚞	montaña montana sierra paisaje turismo vía via
🚋	tranvía tranvia vagón vagon riel ciudad streetcar
🚌	camión camion autobús autobus ruta pasajeros parada
🚍	camión camion autobús autobus frente ruta transporte
🚎	trolebús trolebus camión camion cables catenaria transporte
🚐	combi camioneta microbús microbus pesera transporte
🚑	ambulancia urgencias 911 cruz-roja socorro
🚒	bombero incendio manguera 911 rojo
🚓	patrulla poli 911 arresto seguridad
🚔	patrulla poli 911 frente sirena
🚕	uber chofer viaje amarillo transporte
🚖	amarillo chofer frente uber viaje
🚗	carro coche auto vehículo vehiculo manejar
🚘	carro coche auto faros vehículo vehiculo
🚙	suv camioneta 4x4 todoterreno jeep
🛻	troca camioneta 4x4 batea flete
🚚	camión camion reparto mudanza paquetería paqueteria entrega
🚛	tráiler trailer trailero 18-wheeler remolque transporte
🚜	campo siembra cosecha granja ejido
🏎️	carrera f1 bólido bolido velocidad nascar
🏍️	motocicleta motociclista biker harley rodada
🛵	motoneta repartidor italika dos-ruedas
🦽	silla-de-ruedas discapacidad accesibilidad movilidad accessible
🦼	silla-eléctrica silla-electrica discapacidad accesibilidad powerchair electric
🛺	mototaxi tuktuk india taxi tricimoto
🚲	bici ciclismo ciclista pedalear cycling
🛴	patín-del-diablo patin-del-diablo monopatín monopatin patinar rodar
🛹	patineta skate monopatín monopatin skater rampa
🛼	patines patinaje rollers quads rodar
🚏	parada paradero autobús autobus camión camion transporte
🛣️	carretera autopista ruta viaje roadtrip
🛤️	vías vias tren ferrocarril riel train
🛢️	tambo petróleo petroleo combustible bidón bidon crudo
⛽	gasolina gasolinera gas station diesel
🛞	llanta rueda neumático neumatico tire caucho
🚨	torreta patrulla policía policia ambulancia auxilio
🚥	semáforo semaforo alto crucero verde rojo
🚦	semáforo semaforo alto siga stoplight crucero
🛑	alto pare detente señal senal frenar
🚧	obra desvío desvio precaución precaucion mantenimiento cerrado
⚓	ancla marino puerto náutico nautico barco
🛟	salvavidas flotador rescate lifesaver socorro
⛵	velero vela navegar mar sailing
🛶	canoa remo piragua lago rowing
🚤	lancha bote motora velocidad mar
🛳️	crucero barco transatlántico transatlantico vacaciones puerto
⛴️	transbordador barco travesía travesia embarcadero panga
🛥️	yate lancha bote navegar mar
🚢	barco buque navío navio puerto marítimo maritimo
✈️	avión avion volar vuelo aeropuerto aerolínea aerolinea
🛩️	avioneta hélice helice cessna piloto vuelo
🛫	despegue despegar salida takeoff aeropuerto
🛬	aterrizaje aterrizar llegada landing aeropuerto
🪂	paracaídas paracaidas paracaidismo skydiving saltar caída caida
💺	asiento butaca lugar vuelo pasajero
🚁	helicóptero helicoptero hélice helice volar rescate aspas
🚟	monorriel tren-colgante teleférico teleferico suspendido vagón vagon
🚠	teleférico teleferico montaña montana funicular cabina esquí esqui
🚡	teleférico teleferico cablebús cablebus góndola gondola montaña montana altura
🛰️	satélite satelite antena gps señal senal espacial
🚀	cohete despegue espacio nasa hype
🛸	ovni ufo platillo-volador extraterrestre alien
🛎️	timbre campana botones conserje mostrador
🧳	maleta equipaje viaje valija travel
⌛	reloj-de-arena arena tiempo-agotado espera terminado
⏳	reloj-de-arena esperando pendiente cargando paciencia
⌚	reloj hora muñeca muneca pulsera puntual
⏰	despertador alarma despertar levantarse wake
⏱️	cronómetro cronometro medir vuelta velocidad deporte
⏲️	temporizador minutero cocina horno cuenta-regresiva
🕰️	reloj chimenea hora retro antigüedad antiguedad
🕛	mediodía mediodia medianoche doce noon hora
🕧	doce-y-media media mediodía mediodia half-past
🕐	una la-una hora trece 13
🕜	una-y-media media hora half-past
🕑	dos 2pm 2am 14h reloj hora
🕝	dos-y-media 230pm 230am reloj hora
🕒	tres 3pm 3am 15h reloj hora
🕞	tres-y-media 330pm 330am reloj hora
🕓	cuatro 4pm 4am 16h reloj hora
🕟	cuatro-y-media 430pm 430am reloj hora
🕔	cinco 5pm 5am 17h reloj hora
🕠	cinco-y-media 530pm 530am reloj hora
🕕	seis 6pm 6am 18h reloj hora
🕡	seis-y-media 630pm 630am reloj hora
🕖	siete 7pm 7am 19h reloj hora
🕢	siete-y-media 730pm 730am reloj hora
🕗	ocho 8pm 8am 20h reloj hora
🕣	ocho-y-media 830pm 830am reloj hora
🕘	nueve 9pm 9am 21h reloj hora
🕤	nueve-y-media 930pm 930am reloj hora
🕙	diez 10pm 10am 22h reloj hora
🕥	diez-y-media 1030pm 1030am reloj hora
🕚	once 11pm 11am 23h reloj hora
🕦	once-y-media 1130pm 1130am reloj hora
🌑	luna novilunio luna-nueva oscuro noche
🌒	luna creciente lunar astronomía astronomia noche
🌓	luna cuarto-creciente media-luna lunar mitad
🌔	luna gibosa casi-llena lunar creciendo
🌕	luna llena plenilunio luna-llena lunar
🌖	luna menguante gibosa decreciente lunar
🌗	luna cuarto-menguante media-luna menguante lunar
🌘	luna menguante lunar madrugada astronomía astronomia
🌙	luna medialuna islam ramadán ramadan buenas-noches dormir
🌚	luna sospechoso travieso shady lunita
🌛	luna lunita creciente sonrisa buenas-noches
🌜	luna lunita menguante sonrisa dormir
🌡️	termómetro termometro fiebre calor grados clima
☀️	sol calor verano despejado día dia
🌝	luna llena sonriente lunita plenilunio
🌞	sol solecito sonriente calor radiante
🪐	saturno planeta espacio anillos astronomía astronomia cosmos
⭐	estrella rating calificación calificacion destacado premio
🌟	estrella brillante destello sparkle estrellita
🌠	estrella-fugaz meteoro deseo wish cometa
🌌	vía-láctea via-lactea universo cosmos astronomía astronomia nocturno
☁️	nube nublado cielo clima gris
⛅	nublado medio-nublado sol-entre-nubes clima nubosidad
⛈️	tormenta lluvia rayo aguacero temporal
🌤️	sol nubecita despejado soleado clima
🌥️	nublado nubarrón nubarron sol clima gris
🌦️	lluvia chubasco llovizna sol clima
🌧️	lluvia lloviendo aguacero llovizna mojado
🌨️	nieve nevada nevando frío frio copos
🌩️	rayo relámpago relampago tormenta trueno centella
🌪️	tromba remolino torbellino viento desastre
🌫️	niebla neblina bruma smog nublado
🌬️	viento aire soplando ventarrón ventarron ráfaga rafaga
🌀	huracán huracan espiral remolino tifón tifon ciclón ciclon
🌈	arcoíris arcoiris diversidad colorido gay lluvia
🌂	paraguas sombrilla plegado protección proteccion lluvioso
☂️	paraguas sombrilla lluvia clima protección proteccion
☔	paraguas lluvia sombrilla gotas lloviendo
⛱️	sombrilla playa verano vacaciones sol
⚡	rayo energía energia electricidad relámpago relampago corriente
❄️	copo nieve frío frio helado escarcha
☃️	muñeco-de-nieve muneco-de-nieve navidad bufanda zanahoria frosty
⛄	muñeco muneco nieve navidad frío frio deshielo
☄️	cometa estrella-fugaz asteroide astronomía astronomia shooting-star
🔥	fuego llama hype racha lit incendio
💧	gota agua lágrima lagrima sudor líquido liquido
🌊	ola mar playa tsunami surf
🎃	calabaza pumpkin octubre spooky terror
🎄	navidad arbolito nochebuena posada diciembre
🎆	fuegos-artificiales pirotecnia cohetes año-nuevo ano-nuevo new-year
🎇	bengala chispas destello brillo
🧨	cohete petardo dinamita mecha tronido
✨	brillos destellos estrellitas glitter aesthetic
🎈	globo cumpleaños cumpleanos helio fiesta bday
🎉	felicidades confeti celebración celebracion congrats yay
🎊	confeti serpentinas fiesta festejo felicidades
🎋	deseo japón japon bambú bambu papelitos festivo
🎍	kadomatsu japón japon año-nuevo ano-nuevo adorno bambú bambu
🎎	muñecas munecas japón japon hinamatsuri kimono tradición tradicion
🎏	koinobori japón japon pez banderines viento
🎐	campanita furin japón japon viento tintineo
🎑	tsukimi luna japón japon otoño otono dango
🧧	hongbao sobre dinero año-nuevo-chino ano-nuevo-chino suerte
🎀	moño mono listón liston lazo coquette rosa
🎁	regalo obsequio sorpresa navidad caja
🎗️	listón liston solidaridad concientización concientizacion apoyo lazo
🎟️	boletos entradas cine concierto taquilla
🎫	boleto entrada cine evento taquilla
🎖️	medalla condecoración condecoracion veterano ejército ejercito valor
🏆	trofeo copa campeón campeon victoria torneo
🏅	medalla podio olimpiadas premio logro
🥇	oro primero podio medalla número-uno numero-uno
🥈	plata segundo podio medalla subcampeón subcampeon
🥉	bronce tercero podio medalla tercer-lugar
⚽	fútbol futbol balón balon gol cancha mundial
⚾	béisbol beisbol pelota bate home-run pitcher
🥎	sóftbol softbol pelota bate guante amarilla
🏀	baloncesto básquet basquet canasta nba aro
🏐	voleibol vóley voley saque remate cancha
🏈	nfl touchdown superbowl fútbol-americano futbol-americano casco
🏉	rugbi balón balon scrum tackle melé mele
🎾	tenis raqueta pelota cancha wimbledon
🥏	frisbee ultimate lanzar parque volador
🎳	boliche bolos chuza pista bola
🏏	críquet criquet bateador india inglaterra
🏑	bastón baston palo césped cesped cancha
🏒	nhl hielo palo disco canadá canada
🥍	raqueta red bastón baston canadá canada pelota
🏓	pimpón pimpon raqueta tenis-de-mesa pelotita
🏸	gallito volante pluma red
🥊	boxeo guante nocaut madrazo pelea
🥋	taekwondo cinta-negra dojo kimono jiujitsu
🥅	portería porteria arco red gol portero
⛳	bandera hoyo golfista putt campo
⛸️	patín patin hielo patinaje cuchilla
🎣	caña cana pescar anzuelo carnada pesca
🤿	buceo snorkel visor bucear submarinismo
🎽	playera correr carrera atletismo dorsal
🎿	esquí esqui esquiar nieve montaña montana bastones
🛷	trineo nieve invierno deslizar toboggan
🥌	piedra hielo ice escoba invierno
🎯	diana dardos blanco puntería punteria objetivo
🪀	yoyo juguete toy cuerda truco
🪁	papalote cometa viento volar wind
🔫	pistola arma juguete squirt disparar
🎱	billar bola-ocho snooker carambola negra
🔮	adivinar futuro videncia psychic tarot
🪄	varita mago hechizo abracadabra spell
🎮	videojuego control gamer jugar gaming
🕹️	palanca maquinita retro atari videojuego
🎰	tragamonedas apuesta suerte jackpot azar
